Movie_Title,Storyline,storyline_word_count,clean_storyline
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",38,elphaba a young woman ridiculed for her green skin and galinda a popular girl become friends at shiz university in the land of oz after an encounter with the wonderful wizard of oz their friendship reaches a crossroads
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",38,a couple s vacation at a secluded estate is upended when they re forced to share the mansion with a mysterious couple a dream getaway spirals into a nightmarish maze of sex lies and manipulation triggering a battle for survival
Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,18,two young religious women are drawn into a game of cat and mouse in the house of a strange man
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,26,a visionary architect flees post war europe in for a brighter future in the united states and finds his life forever changed by a wealthy client
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",25,in pursuit of a serial killer an fbi agent uncovers a series of occult clues that she must solve to end his terrifying killing spree
Civil War,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",34,in a dystopian future four journalists travel across the united states during a nation wide conflict while trying to survive they aim to reach the white house to interview the president before he is overthrown
Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",38,after his home is conquered by the tyrannical emperors who now lead rome lucius is forced to enter the colosseum and must look to his past to find strength to return the glory of rome to its people
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",29,while scavenging the deep ends of a derelict space station a group of young space colonists come face to face with the most terrifying life form in the universe
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",35,in an unknown year old bob dylan arrives in new york city with his guitar and forges relationships with musical icons on his meteoric rise culminating in a groundbreaking performance that reverberates around the world
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",36,about to embark on a world tour global pop sensation skye riley begins experiencing increasingly terrifying and inexplicable events overwhelmed by the escalating horrors and the pressures of fame skye is forced to face her past
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",40,after being snatched from the green place of many mothers while the tyrants dementus and immortan joe fight for power and control the young furiosa must survive many trials as she puts together the means to find her way home
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",34,a family is invited to spend a whole weekend in a lonely home in the countryside but as the weekend progresses they realize that a dark side lies within the family who invited them
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",37,after a family tragedy three generations of the deetz family return home to winter river still haunted by beetlejuice lydia s life is turned upside down when her teenage daughter astrid accidentally opens the portal to the afterlife
Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",36,tashi a former tennis prodigy turned coach transformed her husband into a champion but to overcome a recent losing streak and redeem himself he ll need to face off against his former best friend and tashi s ex boyfriend
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",22,kate carter a retired tornado chaser and meteorologist is persuaded to return to oklahoma to work with a new team and new technologies
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,14,a former operative of a powerful organization embarks on a brutal campaign for vengeance
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",33,when cardinal lawrence is tasked with leading the selection of a new pope he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the catholic church
Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,29,inspired by the incredible true story of a hairdresser who single handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter
Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",30,desperate to reclaim her career once beloved actress samantha lake is drawn into the glamorous world of wellness mogul zoe shannon only to uncover a monstrous truth beneath its flawless surface
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",39,when a woman s first love suddenly reenters her life her relationship with a charming but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future
Sleeping Dogs,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past.",22,an ex homicide detective with memory loss is forced to solve a brutal murder only to uncover chilling secrets from his forgotten past
He's Watching You,A teenager investigating mysterious murders in his small town discovers a collection of VHS tapes that could reveal the identity of a notorious serial killer.,25,a teenager investigating mysterious murders in his small town discovers a collection of vhs tapes that could reveal the identity of a notorious serial killer
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.",42,after their car breaks down in an eerie small town a young couple is forced to spend the night in a remote cabin panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",34,sonic knuckles and tails reunite against a powerful new adversary shadow a mysterious villain with powers unlike anything they have faced before with their abilities outmatched team sonic must seek out an unlikely alliance
The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",36,after escaping from an island prison where he spent years for being wrongly accused of state treason edmond dant s returns as the count of monte cristo to exact revenge on the men who betrayed him
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",40,many years after the reign of caesar a young ape goes on a journey that will lead him to question everything he s been taught about the past and make choices that will define a future for apes and humans alike
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,23,a father and his teen daughter attend a pop concert only to realize they ve entered the center of a dark and sinister event
I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain.",14,five strangers are pulled together colliding on a single night where survival is uncertain
Big World,"Liu Chunhe, a young man with cerebral palsy, overcomes physical and mental barriers while fulfilling his grandmother's dream and discovering his life's purpose, leading to transformation and a fresh start.",30,liu chunhe a young man with cerebral palsy overcomes physical and mental barriers while fulfilling his grandmother s dream and discovering his life s purpose leading to transformation and a fresh start
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,27,a young girl who goes through a difficult experience begins to see everyone s imaginary friends who have been left behind as their real life friends have grown up
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",36,in s hollywood adult film star and aspiring actress maxine minx finally gets her big break but as a mysterious killer stalks the starlets of hollywood a trail of blood threatens to reveal her sinister past
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",39,two rival fixers cross paths when they re both called in to help cover up a prominent new york official s misstep over one explosive night they ll have to set aside their petty grievances and their egos to finish the job
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",23,struggling with his dual identity failed comedian arthur fleck meets the love of his life harley quinn while incarcerated at arkham state hospital
Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",38,kraven s complex relationship with his ruthless father nikolai kravinoff starts him down a path of vengeance with brutal consequences motivating him to become not only the greatest hunter in the world but also one of its most feared
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,21,in devoted father bill furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",25,ex ufc fighter dalton takes a job as a bouncer at a florida keys roadhouse only to discover that this paradise is not all it seems
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",27,when their late police captain gets linked to drug cartels wisecracking miami cops mike lowrey and marcus burnett embark on a dangerous mission to clear his name
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",38,while serving as a juror in a high profile murder trial a family man finds himself struggling with a serious moral dilemma one he could use to sway the jury verdict and potentially convict or free the wrong killer
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",36,cat is a solitary animal but as its home is devastated by a great flood he finds refuge on a boat populated by various species and will have to team up with them despite their differences
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",26,sol ne a year old single mom begins an unexpected romance with year old hayes campbell the lead singer of august moon the hottest boy band on the planet
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",29,a young artist gets stranded in an extensive immaculate forest in western ireland where after finding shelter she becomes trapped alongside three strangers stalked by mysterious creatures each night
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,22,a mysterious traveler blackmails a young tsa agent into letting a dangerous package slip through security and onto a christmas eve flight
Scared to Death,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force.",31,jasper a young filmmaker seizes a chance to direct when his crew attends a seance in a haunted children s shelter trapped inside they re haunted by ghostly orphans and a sinister force
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",45,gru lucy margo edith and agnes welcome a new member to the family gru jr who is intent on tormenting his dad gru faces a new nemesis in maxime le mal and his girlfriend valentina and the family is forced to go on the run
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins.",30,marketing maven kelly jones wreaks havoc on nasa launch director cole davis s already difficult task when the white house deems the mission too important to fail the countdown truly begins
Friendship,A suburban dad falls hard for his charismatic new neighbor.,10,a suburban dad falls hard for his charismatic new neighbor
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.,15,a woman living in a ruined earth tries to comprehend how the world was destroyed
We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",35,after an unusual encounter a talented chef and a recently divorc e fall in love and build the home and family they ve always dreamed of until a painful truth puts their love story to the test
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.,38,a series of bank robberies and car heists frightens communities in the pacific northwest a lone fbi agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",38,a sequel that features riley entering puberty and experiencing brand new more complex emotions as a result as riley tries to adapt to her teenage years her old emotions try to adapt to the possibility of being replaced
Subservience,"A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness.",18,a struggling father purchases a domestic sim to help care for his family unaware she will gain self awareness
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,31,a former marine grapples his way through a web of small town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief
Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair.",38,after his father s death eric zimmerman travels to spain to oversee his company s branches in madrid he falls for judith and engage in an intense erotic relationship full of exploration eric fears his secret may end their affair
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.",36,an infamous bounty hunter returns to her childhood home the chaotic planet pandora and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe
Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",26,a dutiful damsel agrees to marry a handsome prince only to find the royal family has recruited her as a sacrifice to repay an ancient debt
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",24,when an year old girl disappears on caddo lake a series of past deaths and disappearances begin to link together altering a broken family s history
Hunting Matthew Nichols,"Two decades after her brother mysteriously disappeared on Vancouver Island, a documentary filmmaker sets out to solve his missing person's case. When a disturbing piece of evidence is revealed, she comes to believe he might still be alive.",38,two decades after her brother mysteriously disappeared on vancouver island a documentary filmmaker sets out to solve his missing person s case when a disturbing piece of evidence is revealed she comes to believe he might still be alive
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",16,chronicles a multi faceted year span of pre and post civil war expansion and settlement of the american west
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.",33,forced to confront her past cassandra webb a manhattan paramedic that may have clairvoyant abilities forms a relationship with three young women destined for powerful futures if they can survive their threatening present
I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,23,a teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late night tv show
Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,34,a reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she s writing starts to mirror real world events in real time
Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",23,two ancient titans godzilla and kong clash in an epic battle as humans unravel their intertwined origins and connection to skull island s mysteries
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,25,a young woman named sam finds herself trapped in new york city during the early stages of an invasion by alien creatures with ultra sensitive hearing
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",29,the untold origin story of optimus prime and megatron better known as sworn enemies but who once were friends bonded like brothers who changed the fate of cybertron forever
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",41,a young man took over his father s real estate business in s and s new york and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend based on true events
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",41,the city of new rome faces the duel between cesar catilina a brilliant artist in favor of a utopian future and the greedy mayor franklyn cicero between them is julia cicero with her loyalty divided between her father and her beloved
Cellar Door,"Looking for a fresh start after a miscarriage, a couple find themselves being gifted the house of their dreams with one caveat - they can never open the cellar door. Whether they can live without knowing triggers shocking consequences.",39,looking for a fresh start after a miscarriage a couple find themselves being gifted the house of their dreams with one caveat they can never open the cellar door whether they can live without knowing triggers shocking consequences
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.",25,mismatched cousins reunite for a tour through poland to honor their beloved grandmother but their old tensions resurface against the backdrop of their family history
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,24,eddie brock and venom must make a devastating decision as they re pursued by a mysterious military man and alien monsters from venom s home world
Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",43,after po is tapped to become the spiritual leader of the valley of peace he needs to find and train a new dragon warrior while a wicked sorceress plans to re summon all the master villains whom po has vanquished to the spirit realm
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",31,a group of friends gather for a pre wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long hidden secrets desires and grudges
Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance.",31,nebraska city two best friends get the chance to run the swimming pool snack shack that later comes to be the perfect scenario for transgression fun personal discovery and romance
Strange Harvest,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force.",35,detectives are thrust into a chilling hunt for mr shiny a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque otherworldly crimes tied to a dark cosmic force
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,25,art the clown is set to unleash chaos on the unsuspecting residents of miles county as they peacefully drift off to sleep on christmas eve
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",31,after receiving an unexpected call from her wayfinding ancestors moana must journey to the far seas of oceania and into dangerous long lost waters for an adventure unlike anything she s ever faced
Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,18,a psychic medium attempts to uncover the truth behind her sister s murder at the site of the crime
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,25,a single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",32,when year old thelma post gets duped by a phone scammer pretending to be her grandson she sets out on a treacherous quest across the city to reclaim what was taken from her
Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",36,mufasa a cub lost and alone meets a sympathetic lion named taka the heir to a royal bloodline the chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,24,follows two robbers who must go on the run with the help of one of their therapists after a theft doesn t go as planned
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,19,a delta force team fights for survival as an air force drone pilot becomes its eyes in the sky
Sep-05,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",29,during the summer olympics in munich germany an american sports broadcasting team must adapt to live coverage of the israeli athletes being held hostage by a terrorist group
Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",36,reclusive gym manager lou falls hard for jackie an ambitious bodybuilder headed through town to vegas in pursuit of her dream but their love ignites violence pulling them deep into the web of lou s criminal family
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.,26,the continuation of one story of the settlement of the american west it follows the further adventures of characters first featured in horizon an american saga
Reunion,"Snowbound at their high school reunion, former classmates uncover a murder and scramble to identify the killer among them before they're all iced out for good.",26,snowbound at their high school reunion former classmates uncover a murder and scramble to identify the killer among them before they re all iced out for good
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",42,when a group of friends recklessly violates the sacred rule of tarot readings they unknowingly unleash an unspeakable evil trapped within the cursed cards one by one they come face to face with fate and end up in a race against death
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life.",18,a generational story about families and the special place they inhabit sharing in love loss laughter and life
Minor Leaguer,"A minor league hockey player struggles with the massive ego of his team's new owner, a hockey legend who was once his childhood hero.",24,a minor league hockey player struggles with the massive ego of his team s new owner a hockey legend who was once his childhood hero
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.",38,in s mexico city an american immigrant in his late forties leads a solitary life amidst a small american community however the arrival of a young student stirs the man into finally establishing a meaningful connection with someone
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",43,a sudden attack by wulf a clever and traitorous lord of rohan seeking vengeance for the death of his father forces helm hammerhand the king of rohan and his people to make a daring last stand in the ancient stronghold of the hornburg
Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",30,an author returns to his hometown of jerusalem s lot in search of inspiration for his next book only to discover that the townspeople are being attacked by a bloodthirsty vampire
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",34,a barber seeks vengeance after his home is burglarized cryptically telling police his lakshmi has been taken leaving them uncertain if it s a person or object his quest to recover the elusive lakshmi unfolds
